t,angle,setpoint,dq,tau_cmd,tau_load,Fx,Fy,Fz,Mx,My,Mz,pos_err,rot_err,risk,b0,b1,b2,b3,b4
17.42,0.7284634932727874,0.6981317007977318,-0.10872320354596186,1.276785330138784,-1.2178473940365484,-5.97329262920735,5.851367486338651,-3.0743247375026206,2.2959314496356646,0.09989229463077076,-2.110324829758105,0.0037300360409484243,0.01672362520969937,0.0,0.3727078561521746,0.2870072845816697,0.3402752784456356,2.326563166771617e-06,7.2542573532852374e-06
17.525000000000002,0.7292266399020783,0.6981317007977318,-0.11022865805691155,1.2364608140970148,-0.7451137602388711,-4.942615113686832,4.666769390493548,-2.531994464477931,1.7638364422476822,0.15124074276821017,-1.565726912485296,0.0034595104114667407,0.013957498707470867,0.0,0.2,0.2,0.2,0.2,0.2
17.63,0.7311806394727713,0.6981317007977318,-0.10330529218314922,0.8431510290257279,-0.19203504440933977,-6.734484115505211,5.317195954418574,-3.408020117040036,1.4424989886598325,0.3662911528702313,-1.337897533795644,0.0038753052628465547,0.012560746713642249,0.0,0.2,0.2,0.2,0.2,0.2
17.73,0.7338417803228593,0.6981317007977318,-0.059310127510367835,-0.8521294616543296,0.3548777668738925,-12.352848103635115,6.646860348386439,-4.666324262425257,1.282236919380587,0.6041059440042865,-1.7708787259568926,0.004416658066948713,0.012018808505272606,0.0,0.0015522090053894427,0.0015522090053894427,0.0015522090053894427,0.9541632830484357,0.04118008993539613
17.830000000000002,0.7369992820681883,0.6981317007977318,-0.0610382203599901,-0.7638173579443756,0.8670526697567174,-13.724488987270513,8.078000642894564,-6.059174463390316,1.2301245876648155,0.67725150116267,-1.7615042479133831,0.00493159929445811,0.01188220938172338,0.0,0.10378523761282427,0.10378523761282427,0.10378523761282427,0.5848590495487028,0.10378523761282427
17.935,0.7412731567836138,0.6981317007977318,-0.08053350217003012,-0.6529047563062346,1.312694371853296,-14.573199727588591,9.778330827477138,-7.6620883213545925,1.2672231505440612,0.8636012201326987,-1.5545247640231608,0.005743408887262305,0.012406322568202075,0.0,0.2,0.2,0.2,0.2,0.2
18.035,0.7455243241095431,0.6981317007977318,-0.055614370089879836,-1.8691316543737284,1.6060705949469645,-18.71890338608322,10.903514541913342,-8.642299717007408,1.322008099857059,1.063240509917155,-1.9183678094305343,0.006292861645203807,0.012905702194164068,0.0,1.9769535513839834e-06,1.9769535513839834e-06,1.9769535513839834e-06,0.28070115754379504,0.7192929115955508
18.135,0.7491697365285753,0.6981317007977318,-0.05083236295047083,-2.2340582595302005,1.7422334380553903,-19.232181408649602,11.134499507994068,-8.866574171505992,1.359046075226273,1.024982039070895,-2.027881357906666,0.006307916510297075,0.012895465158499233,0.0,0.2,0.2,0.2,0.2,0.2
18.240000000000002,0.7524882994828298,0.6981317007977318,-0.08686591837831736,-1.236130485721141,1.701647360695933,-15.491664501935228,10.617299786515408,-8.484031841022333,1.362163786765888,0.9066314547363269,-1.5584811756949788,0.006111551393487735,0.012656153719613402,0.0,0.5047668293554965,0.2925684086450537,0.20266077824876622,1.9918753416601743e-06,1.9918753416601743e-06
18.345,0.7551660537401712,0.6981317007977318,-0.10218773969731682,-0.8086234655995314,1.4775738696285332,-13.17261857751625,9.441299704511186,-7.5165670441181405,1.3053382522212795,0.8581416939201637,-1.2528342473154757,0.0057408349331464536,0.012186335507417918,0.0,0.2,0.2,0.2,0.2,0.2
