Family,Controller,t_esc_s,W_mech_J,theta_os_rad,Sat_time_ms,N_B
Sawtooth,PID,18.955,10.9780170253359,0.0731095245574426,410.000000000002,1
Sawtooth,MPC/MPPI,17.115,1.64519982565494,0.0545396239958491,410,1
Sawtooth,POMDP,NaN,2.52439815426204,0.046176570814653,524.999999999999,1
Sinusoidal,PID,17.73,7.79893658394775,0.203469042284721,0,1
Sinusoidal,MPC/MPPI,17.22,2.12002646491167,0.0682518923070088,104.999999999999,1
Sinusoidal,POMDP,16.705,2.79768249652515,0.0581315913650878,314.999999999998,1
Multi-well,PID,20.49,8.90795689419817,0.0754070782732111,720.000000000002,1
Multi-well,MPC/MPPI,17.115,1.83857958300563,0.0544640888836415,624.999999999998,1
Multi-well,POMDP,NaN,2.19582420531095,0.0460995366684526,314.999999999998,1
